name,quadrant,is_new
"Let's Encrypt",Tools,false
Apollo Auto,Platforms,false
Dapper,Languages & Frameworks,false
Deis,Platforms,false
Event driven business intelligence,Techniques,false
Riemann,Tools,false
GitUp,Tools,false
Clojure.spec,Tools,false
Wardley mapping,Techniques,false
ECMAScript 6,Languages & Frameworks,false
"Scala, the good parts",Languages & Frameworks,false
HyperResource,Languages & Frameworks,false
Sentry,Tools,false
RubyMotion,Languages & Frameworks,false
CVXPY,Tools,false
Jupyter,Tools,false
Stanford CoreNLP,Tools,false
mkcert,Tools,false
React.js,Languages & Frameworks,false
Argo CD,Platforms,false
ESP8266,Platforms,false
Systems,Tools,false
Platform roadmaps,Techniques,false
iPad,Platforms,false
Ember.js,Languages & Frameworks,false
CI theatre,Techniques,false
Chaos Engineering,Techniques,false
Cross-platform mobile toolkits,Tools,false
10x engineers,Techniques,false
Mobile first,Techniques,false
Micronaut,Languages & Frameworks,false
Buildkite,Tools,false
Humio,Tools,false
Netlify,Platforms,false
Reactive Extensions for .Net,Tools,false
assertj-swagger,Tools,false
CSS Modules,Languages & Frameworks,false
ConfigCat,Tools,false
Teleport,Platforms,false
SPDY,Platforms,false
Sandstorm,Platforms,false
JSONassert,Tools,false
MemGuard,Tools,false
tfsec,Tools,false
Manifold,Tools,false
Distributed version control,Tools,false
Q & Bluebird,Languages & Frameworks,false
batect,Tools,false
joi,Languages & Frameworks,false
UIAutomator,Tools,false
ARM Server SoC,Platforms,false
AWS Cloud Development Kit,Platforms,false
Light Table,Tools,false
Logstash & Graylog2,Tools,false
NoSQL,Tools,false
Rackspace Cloud,Platforms,false
Elm,Languages & Frameworks,false
Grafeas,Tools,false
Humane registry,Techniques,false
DVC,Tools,false
Snowflake,Platforms,false
Handcranking of Hadoop clusters using config management tools,Techniques,false
Exposed,Languages & Frameworks,false
Microsoft Nano Server,Platforms,false
Shared VPC,Platforms,false
Three.js,Languages & Frameworks,false
Front-end integration via artifact,Techniques,false
Procedure oriented integration,Techniques,false
Firefox,Platforms,true
Analyzing test runs,Techniques,false
Godot,Platforms,false
Solidity,Languages & Frameworks,false
ScoutSuite,Tools,false
Detekt,Tools,false
Deltacloud,Tools,false
Hive,Languages & Frameworks,false
Google Cloud Dataflow,Platforms,false
Gobot,Languages & Frameworks,false
Idempotency filter,Techniques,false
Sinatra,Languages & Frameworks,false
Snowplow Analytics,Tools,false
ZAP,Tools,false
Calatrava,Platforms,false
Cage,Tools,false
Ceph,Platforms,false
Roslyn,Tools,false
Transfer learning for NLP,Techniques,false
Data integrity at the origin,Techniques,false
Functional languages,Languages & Frameworks,true
Promises for asynchronous programming,Techniques,false
PostgreSQL for NoSQL,Platforms,false
Heavyweight test tools,Tools,false
Hydra,Platforms,false
ClojureScript,Languages & Frameworks,false
Container security scanning,Techniques,false
Docker for builds,Techniques,false
spaCy,Tools,false
GWT,Platforms,false
Citrix for development,Tools,false
Visualizations for business data,Tools,false
kind,Tools,false
Code in configuration,Tools,false
Data Lake,Techniques,false
Avro,Languages & Frameworks,false
Mongoose OS,Platforms,false
Gradle,Tools,false
Phoenix,Languages & Frameworks,false
Prometheus,Tools,false
Kubernetes,Platforms,false
Google Cloud Platform,Platforms,false
SysDig,Tools,false
Weex,Languages & Frameworks,false
Continuous delivery for mobile devices,Techniques,false
Lua,Languages & Frameworks,false
Spray/akka-http,Languages & Frameworks,false
Codefresh,Tools,false
Enterprise Data Warehouse,Platforms,false
XState,Languages & Frameworks,false
Differential privacy,Techniques,false
Ktor,Languages & Frameworks,false
Sidecars for endpoint security,Techniques,false
Data discoverability,Techniques,false
Camunda,Languages & Frameworks,false
Open source BI/ETL tools,Tools,false
Snowpack,Tools,false
"TDD'ing containers",Techniques,false
Deno,Platforms,false
AngularJS,Languages & Frameworks,false
Patroni,Tools,false
Remote usability testing,Techniques,false
GitLab,Tools,false
QA in production,Techniques,false
FoundationDB,Platforms,false
Incremental delivery with COTS,Techniques,false
Riak,Platforms,false
Pivotal Cloud Foundry,Platforms,false
Particle Photon/Particle Electron,Platforms,false
WS-*,Platforms,false
Polly.js,Languages & Frameworks,false
Micro frontends for mobile,Techniques,false
Binary attestation,Techniques,false
Backbone.js,Languages & Frameworks,false
Embark,Languages & Frameworks,false
Local storage sync,Techniques,false
Rasa,Languages & Frameworks,false
JavaScript micro frameworks,Tools,false
Rich Internet Applications,Platforms,false
Swashbuckle for .NET Core,Tools,false
Quick and Nimble,Languages & Frameworks,false
MongoDB,Platforms,false
App containers,Platforms,false
HiveRunner,Languages & Frameworks,false
Chrome,Platforms,true
gopass,Tools,false
Cloud,Platforms,false
Mosquitto,Platforms,false
Inverse Conway Maneuver,Techniques,false
Restfulie,Tools,false
PhoneGap/Apache Cordova,Platforms,false
Capture domain events explicitly,Techniques,false
Angular 2,Languages & Frameworks,false
ArchUnit,Tools,false
Dagger,Languages & Frameworks,false
Flutter,Languages & Frameworks,false
Serverless architecture,Techniques,false
PhantomJS,Tools,false
LambdaCD,Tools,false
H2O,Platforms,false
Librarian-puppet and Librarian-Chef,Tools,false
Haskell Hadoop library,Languages & Frameworks,false
Chaos Katas,Techniques,false
Cursive,Tools,false
Puncturing encapsulation with change data capture,Techniques,false
Alamofire,Languages & Frameworks,false
Log level per request,Techniques,false
Pinpoint,Tools,false
Pester,Languages & Frameworks,false
Generic cloud usage,Techniques,false
axios,Tools,false
BeyondCorp,Techniques,false
Puppeteer,Languages & Frameworks,false
MapD,Platforms,false
Icon fonts,Tools,false
ESLint,Tools,false
Skaffold,Tools,false
Spek,Languages & Frameworks,false
Dc.js,Tools,false
Embedded mobile mocks,Techniques,false
